Name,NetWorth,Country,Continent,Source,Continent_Rank,Rank,Age Range,Industry,,Age
Carlos Rodriguez-Pastor,5.3,Peru,,finance,,529,60,Finance & Investments,,61
Carlos Sanchez,2.5,Brazil,,generic drugs,,1249,50,Healthcare,,59
Carlos Slim Helu & family,62.8,Mexico,North America,telecom,10,16,80,Telecom,,81
Carmen Daurella Aguilera,1,Spain,,Coca-Cola bottler,,2674,N/A,Food & Beverage,,N/A
Carol Jenkins Barnett,2.5,United States,,Publix supermarkets,,1249,60,Food & Beverage,,64
Caroline Hagen Kjos,2.6,Norway,,conglomerate,,1205,30,Diversified,,37
Carrie Perrodo & family,5.4,France,,oil,,520,70,Energy,,70
Carsten Maschmeyer,1.1,Germany,,finance and investments,,2524,60,Finance & Investments,,61
Catherine Lozick,1.6,United States,,valve manufacturing,,1931,70,Manufacturing,,75
Catherine Phillips,2.2,Canada,,investments,,1444,N/A,Finance & Investments,,N/A
Cen Junda,11.6,China,,pharmaceuticals,,189,50,Healthcare,,56
Chad Richison,2.9,United States,,payroll processing,,1064,50,Technology,,50
Chairul Tanjung,4.8,Indonesia,,diversified,,589,50,Diversified,,58
Chamath Palihapitiya,1.2,United States,,★,,2378,40,Finance & Investments,,44
Chan Laiwa & family,5.8,China,,real estate,,476,80,Real Estate,,80
Chan Tan Ching-fen,8.8,Hong Kong,,real estate,,269,N/A,Real Estate,,N/A
Chanchai Ruayrungruang,1.1,China,,real estate,,2524,60,Real Estate,,67
Chandru Raheja,2.9,India,,real estate,,1064,80,Real Estate,,80
Chang Byung-gyu,1,South Korea,,Bluehole,,2674,40,Technology,,47
Chang Jing,2.5,China,,technology,,1249,30,Technology,,38
Chang Pyung-soon,1.3,South Korea,,educational services,,2263,70,Service,,70
Changpeng Zhao,1.9,China,,cryptocurrency exchange,,1664,40,Finance & Investments,,45
Chang-soo Kim,1.1,South Korea,,apparel,,2524,60,Fashion & Retail,,60
Chang-Woo Han & family,1.7,Japan,,pachinko parlors,,1833,90,Gambling & Casinos,,90
Chao Teng-hsiung,1.7,Taiwan,,real estate,,1833,70,Real Estate,,76
Charlene de Carvalho-Heineken & family,16.7,Netherlands,,Heineken,,116,60,Food & Beverage,,66
Charles B. Johnson,4.9,United States,,money management,,574,80,Finance & Investments,,88
Charles Bronfman,2.5,Canada,,liquor,,1249,80,Food & Beverage,,89
